  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.619010E-08
  0.179094E-07  0.347236E-07  0.564414E-07  0.829931E-07  0.114368E-06
  0.150581E-06  0.191651E-06  0.237595E-06  0.288419E-06  0.344122E-06
  0.404689E-06  0.470097E-06  0.540317E-06  0.615309E-06  0.695031E-06
  0.779437E-06  0.868475E-06  0.962095E-06  0.106024E-05  0.116287E-05
  0.126992E-05  0.138134E-05  0.149708E-05  0.161710E-05  0.174133E-05
  0.186975E-05  0.200229E-05  0.213893E-05  0.227960E-05  0.242428E-05
  0.257292E-05  0.272548E-05  0.288192E-05  0.304220E-05  0.320628E-05
  0.337412E-05  0.354568E-05  0.372091E-05  0.389978E-05  0.408223E-05
  0.426821E-05  0.445769E-05  0.465061E-05  0.484691E-05  0.504653E-05
  0.524942E-05  0.545550E-05  0.566471E-05  0.587698E-05  0.609222E-05
  0.631037E-05  0.653132E-05  0.675500E-05  0.698130E-05  0.721014E-05
  0.744142E-05  0.767502E-05  0.791086E-05  0.814881E-05  0.838878E-05
  0.863066E-05  0.887433E-05  0.911970E-05  0.936666E-05  0.961511E-05
  0.986494E-05  0.101161E-04  0.103684E-04  0.106218E-04  0.108763E-04
  0.111316E-04  0.113879E-04  0.116449E-04  0.119027E-04  0.121611E-04
  0.124201E-04  0.126797E-04  0.129398E-04  0.132003E-04  0.134612E-04
  0.137225E-04  0.139841E-04  0.142461E-04  0.145083E-04  0.147707E-04
  0.150333E-04  0.152962E-04  0.155592E-04  0.158224E-04  0.160857E-04
  0.163492E-04  0.166128E-04  0.168764E-04  0.171402E-04  0.174040E-04

  0.000000E+00  0.000000E+00  0.000000E+00  0.334095E-08  0.135005E-07
  0.294322E-07  0.506809E-07  0.770465E-07  0.108454E-06  0.144887E-06
  0.186352E-06  0.232860E-06  0.284418E-06  0.341022E-06  0.402658E-06
  0.469300E-06  0.540916E-06  0.617462E-06  0.698889E-06  0.785146E-06
  0.876173E-06  0.971914E-06  0.107231E-05  0.117729E-05  0.128680E-05
  0.140079E-05  0.151919E-05  0.164194E-05  0.176899E-05  0.190029E-05
  0.203578E-05  0.217542E-05  0.231915E-05  0.246692E-05  0.261869E-05
  0.277441E-05  0.293403E-05  0.309752E-05  0.326481E-05  0.343588E-05
  0.361067E-05  0.378913E-05  0.397121E-05  0.415687E-05  0.434605E-05
  0.453869E-05  0.473475E-05  0.493415E-05  0.513683E-05  0.534274E-05
  0.555179E-05  0.576391E-05  0.597902E-05  0.619705E-05  0.641789E-05
  0.664148E-05  0.686770E-05  0.709646E-05  0.732767E-05  0.756121E-05
  0.779699E-05  0.803489E-05  0.827482E-05  0.851666E-05  0.876030E-05
  0.900564E-05  0.925257E-05  0.950099E-05  0.975080E-05  0.100019E-04
  0.102542E-04  0.105076E-04  0.107620E-04  0.110174E-04  0.112737E-04
  0.115307E-04  0.117884E-04  0.120469E-04  0.123059E-04  0.125654E-04
  0.128255E-04  0.130860E-04  0.133469E-04  0.136082E-04  0.138698E-04
  0.141318E-04  0.143940E-04  0.146564E-04  0.149190E-04  0.151819E-04
  0.154449E-04  0.157081E-04  0.159714E-04  0.162349E-04  0.164984E-04
  0.167621E-04  0.170259E-04  0.172897E-04  0.175536E-04  0.178176E-04

  0.000000E+00  0.000000E+00  0.441814E-09  0.770938E-08  0.220023E-07
  0.422843E-07  0.680852E-07  0.992000E-07  0.135551E-06  0.177119E-06
  0.223903E-06  0.275909E-06  0.333133E-06  0.395562E-06  0.463170E-06
  0.535923E-06  0.613774E-06  0.696670E-06  0.784553E-06  0.877359E-06
  0.975022E-06  0.107747E-05  0.118464E-05  0.129646E-05  0.141286E-05
  0.153377E-05  0.165914E-05  0.178888E-05  0.192296E-05  0.206129E-05
  0.220383E-05  0.235052E-05  0.250130E-05  0.265611E-05  0.281492E-05
  0.297766E-05  0.314428E-05  0.331473E-05  0.348895E-05  0.366691E-05
  0.384853E-05  0.403377E-05  0.422258E-05  0.441488E-05  0.461063E-05
  0.480975E-05  0.501219E-05  0.521787E-05  0.542671E-05  0.563865E-05
  0.585360E-05  0.607147E-05  0.629219E-05  0.651565E-05  0.674176E-05
  0.697043E-05  0.720155E-05  0.743501E-05  0.767072E-05  0.790856E-05
  0.814843E-05  0.839022E-05  0.863382E-05  0.887912E-05  0.912601E-05
